"Annotation","mean_group1","sd_group1","mean_group2","sd_group2","p.val","p.adj"
"damaged.DNA.binding..GO.0003684.",72.6262502926535,60.8177730249288,113.716203658057,10.9860017809302,2.82876091346065e-11,1.70291406990331e-08
"X.oxidoreductase.activity..acting.on.the.CH.OH.group.of.donors..NAD.or.NADP.as.acceptor..GO.0016616..",44.0210953719237,38.7927568914894,67.122638284546,19.4437730594008,2.41758931578082e-11,1.70291406990331e-08
"formate.dehydrogenase..NAD...activity..GO.0008863.",20.8635617569795,19.8820200997772,52.097464454637,11.6798354548232,1.3927522269793e-09,5.58957893761024e-07
"ribonucleoside.binding..GO.0032549.",27.3732538475028,27.8355598462321,71.472121003609,19.019423111186,4.00029452940871e-09,1.20408865335202e-06
"dioxygenase.activity..GO.0051213.",18.8969072604019,19.6664653989317,53.5731481936505,19.3559056551146,6.61270148847114e-08,1.59233851842385e-05
"N.acetyltransferase.activity..GO.0008080.",53.8050422850786,42.2341332403417,89.0986396111346,12.1368675391943,9.28414114938671e-07,0.000186301765731027
"X.hydrolase.activity..acting.on.carbon.nitrogen..but.not.peptide..bonds..GO.0016810..",46.4448063565228,50.4951704114428,113.40760869747,20.9288528365907,3.11050686107864e-06,0.000535007180105526
"single.stranded.DNA.binding..GO.0003697.",16.5683865790316,16.1288486823524,32.9694539939917,10.595491413349,2.40328243715662e-05,0.00361694006792071
"DNA.dependent.ATPase.activity..GO.0008094.",10.8684927308565,12.5036447469821,27.6530581574998,4.25297313084435,0.000218311869079205,0.0292052767079292
"cation.transmembrane.transporter.activity..GO.0008324.",24.7097335601486,29.431969723723,46.6263776293825,19.6677902686579,0.000249301124307859,0.0300158553666662
"protein.transporter.activity..GO.0008565.",62.821713731486,60.0283826434414,68.174468643159,28.5566979745966,0.000279546827114836,0.0305976708951147
