"Annotation","mean_group1","sd_group1","mean_group2","sd_group2","p.val","p.adj"
"X.Enterobacteriaceae.",2446.9519814634,2789.67230952956,4370.27204753509,4632.66642882643,0,0
"X.Flavobacteriaceae.",203.081836680642,354.901524440073,1181.93744094344,1409.0823332169,1.69801267426369e-304,6.80054076042606e-302
"Chryseobacterium",157.000818596391,294.545725700215,840.895198695589,953.133503488822,7.46849715863059e-173,1.99408874135437e-170
"X.Bacteroidetes.",807.759492569688,1292.65913684062,1185.14031317134,1115.83408157666,4.48752872274785e-172,8.98627626730257e-170
"Sphingomonas",423.829314862815,562.615777670298,1387.42163350376,834.867744646398,4.07821047012168e-145,6.53329317313494e-143
"Microbacterium",437.755600290269,764.376082392512,1677.29815646503,781.225903063805,7.54260794352559e-144,1.00693816046067e-141
"X.Sphingomonadaceae.",312.718389387415,415.860363146347,1127.90882214617,640.187258716763,2.29703355536028e-121,2.6284626826337e-119
"Exiguobacterium",29.7070145929149,66.5248907345149,108.330803649478,174.691612408453,4.67135517966193e-106,4.67719437363651e-104
"Acidovorax",672.944799303673,1872.26653446238,1825.73730481595,1508.14761785455,2.88682144759274e-60,2.56927108835754e-58
"Rahnella",50.5243966510926,141.563715061802,1.83718434194918,3.7215509384677,1.15604070817472e-46,9.25988607247951e-45
"X.Microbacteriaceae.",110.427910147022,217.247073816046,468.675258732943,214.311347570757,4.28852350242555e-44,3.1228248413117e-42
"Sphingobacterium",6.8868904813155,15.3039433136087,36.7287199698306,58.2250729092486,5.1579981593055e-32,3.44296377133642e-30
"X.Alphaproteobacteria.",210.810566691732,268.247059741505,833.303017268536,555.309495663793,1.62359670914197e-31,1.00038535694055e-29
"Pantoea",469.803688915186,436.134972357205,496.530043016806,793.443175088006,2.11946269755784e-31,1.21263544338845e-29
"X.Flavobacteriales.",27.8230959068053,41.1232086452221,78.9261609729161,94.3686770291162,6.59523407987186e-29,3.52185499865157e-27
"Bacillus",13.816686642339,41.4500599270171,107.562744098536,139.81703384809,8.62212716217648e-27,4.3164524105646e-25
"Niastella",29.7710033816153,65.6872980841055,48.3172126573608,47.4382704619566,7.41860716143534e-25,3.49547313900571e-23
"X.Moraxellaceae.",155.550949661752,139.003065901825,118.502799702723,136.954418378843,1.57393498057176e-23,7.00401066354432e-22
"X.Oxalobacteraceae.",26.0493768256242,59.0229427786763,53.8071441028097,68.9291525415828,5.1392371542524e-22,2.16659418976641e-20
"X.Sphingomonadales.",65.4495136441298,91.2708814119957,174.916606371978,101.358770234103,1.60644226577956e-20,6.43380127444714e-19
"X.Flavobacteriia.",0.96413935878759,2.26516690271828,29.392494302555,40.4920672672671,4.15925255922168e-15,1.58645776187456e-13
"X.Pseudomonadales.",95.6683028317133,80.5597461705451,76.6952449111888,79.7714960752071,3.61156800278535e-14,1.31493907737776e-12
"Rhizobium",1.06196619939455,1.97806249196083,33.9200596884178,41.9343116033696,1.39278193141247e-12,4.85051446548428e-11
"Lactococcus",9.01690047207921,18.6436669906584,9.06204448084349,12.3509964826369,7.91110910174662e-12,2.64033266270793e-10
"Dyadobacter",8.07013821929951,21.8109544200195,14.0835224577409,14.3609016816592,2.4020708667949e-11,7.69623505721085e-10
"Modestobacter",8.45705330638473,18.4865619858132,11.8793456175329,10.0008282865749,1.95824391266122e-10,6.03289759246784e-09
"X.Micrococcaceae.",52.8237668743428,47.2982555386015,83.604170525097,59.9937139239111,9.32289004123558e-09,2.76579071223322e-07
"Anoplophora",0.581726235106001,1.18754247065224,8.91097203143126,26.7329160942938,1.26645754436332e-08,3.62297318941078e-07
"X.Herpotrichiellaceae.",8.10962399370548,16.3059979556432,0,0,1.784965499164e-08,4.93019780975987e-07
"X.Bacillaceae.",8.02694591015377,16.3549177611046,42.4095258687094,43.7656712460322,2.06366860490274e-08,5.50999517509031e-07
"Rhodococcus",1.59423307411604,4.78269922234813,12.9611124688432,12.860519230315,3.33786855959646e-07,8.62462166527989e-06
"X.Neisseriaceae.",32.1670881371773,66.3907896062604,1.48516200523854,4.45548601571563,9.83926806135795e-07,2.46289178660866e-05
"Skermanella",11.6413238500209,15.0296094725962,61.1107282323963,39.4480146766281,1.40453320134554e-06,3.40918513417509e-05
