"","PHYLLO09","PHYLLO10","PHYLLO11","PHYLLO12","PHYLLO13","PHYLLO14","PHYLLO15","PHYLLO16","PHYLLO21","PHYLLO22","PHYLLO23","PHYLLO24","PHYLLO25","PHYLLO26","PHYLLO27","PHYLLO28","PHYLLO29"
"Oxidoreductases..1.......","  0","  0","  0","  4","135"," 53"," 84"," 66"," 83"," 29","431"," 67","248","152","138","206","  0"
"Oxidoreductases....Acting.on.the.CH.OH.group.of.donors..1.1....."," 0"," 0"," 0"," 0","19"," 5"," 4"," 1"," 0"," 7","24"," 7","23","18","13","24"," 0"
"Oxidoreductases....Acting.on.the.CH.OH.group.of.donors....With.NAD....or.NADP....as.acceptor..1.1.1...","  0","  0","  0","  0"," 32"," 25"," 20"," 28"," 17","  2","108"," 20"," 82"," 73"," 52"," 82"," 15"
"Alcohol.dehydrogenase..1.1.1.1.","13","30"," 0"," 0","43","12","33","19","35","27","99","25","60","58","72","56"," 4"
"L.xylulose.reductase..1.1.1.10.","0","0","0","0","0","0","0","0","0","0","1","0","1","5","0","0","1"
"X3.oxoacyl..acyl.carrier.protein..reductase..1.1.1.100.","  0","  0","  0","  0"," 43","  0","  8"," 34"," 32","  1","174"," 15","129"," 91"," 65","144","  2"
"L.threonine.3.dehydrogenase..1.1.1.103."," 0"," 1"," 0"," 3"," 9"," 4"," 0"," 2"," 2"," 4","14"," 3","10"," 8","14"," 7"," 2"
"All.trans.retinol.dehydrogenase..NAD......1.1.1.105.","0","0","0","1","0","0","0","1","0","0","2","0","0","1","0","1","0"
"Pyridoxal.4.dehydrogenase..1.1.1.107.","2","0","0","0","0","0","2","0","0","0","7","0","3","6","3","9","0"
"Carnitine.3.dehydrogenase..1.1.1.108.","0","0","0","0","3","0","0","0","0","0","3","0","4","0","1","1","1"
"D.arabinitol.4.dehydrogenase..1.1.1.11."," 1"," 0"," 0"," 0"," 0"," 7"," 2"," 0"," 0"," 0","14"," 1"," 9"," 8"," 1","11"," 0"
"D.arabinose.1.dehydrogenase..NAD......1.1.1.116.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Galactose.1.dehydrogenase..NADP......1.1.1.120.","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0"
"D.threo.aldose.1.dehydrogenase..1.1.1.122.","0","0","0","0","0","7","2","1","0","0","3","0","1","1","2","0","0"
"Sorbose.5.dehydrogenase..NADP......1.1.1.123.","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"X2.deoxy.D.gluconate.3.dehydrogenase..1.1.1.125."," 1"," 0"," 0"," 0"," 1"," 3"," 0"," 5"," 1"," 2"," 5"," 0","10"," 5"," 9"," 6"," 2"
"X2.dehydro.3.deoxy.D.gluconate.5.dehydrogenase..1.1.1.127.","0","0","0","0","0","0","1","0","0","0","0","0","1","0","5","0","0"
"X3.dehydro.L.gulonate.2.dehydrogenase..1.1.1.130.","0","0","0","2","0","3","1","0","2","0","2","1","2","0","4","0","0"
"GDP.mannose.6.dehydrogenase..1.1.1.132.","0","0","0","0","0","0","0","1","1","0","2","0","3","0","3","0","0"
"dTDP.4.dehydrorhamnose.reductase..1.1.1.133."," 2"," 0"," 0"," 1"," 8"," 4"," 6","10","12"," 0","19"," 5","30","28"," 6","29"," 0"
"UDP.N.acetylglucosamine.6.dehydrogenase..1.1.1.136.","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","1"
"Ribitol.5.phosphate.2.dehydrogenase..1.1.1.137.","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L.iditol.2.dehydrogenase..1.1.1.14."," 0"," 4"," 0"," 0"," 7"," 0"," 1"," 7"," 3"," 1","30"," 2","13","21"," 2"," 8"," 0"
"Sorbitol.6.phosphate.2.dehydrogenase..1.1.1.140.","0","0","0","0","0","0","1","0","0","0","2","0","2","0","3","0","0"
"X15.hydroxyprostaglandin.dehydrogenase..NAD......1.1.1.141.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"X3.beta.hydroxy.Delta.5..steroid.dehydrogenase..1.1.1.145.","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"X20.alpha.hydroxysteroid.dehydrogenase..1.1.1.149.","0","0","0","0","4","9","5","0","1","0","1","2","8","0","0","0","0"
"D.iditol.2.dehydrogenase..1.1.1.15.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"Ureidoglycolate.dehydrogenase..1.1.1.154.","0","0","0","0","0","2","0","0","0","0","0","0","3","2","1","2","0"
"X3.hydroxybutyryl.CoA.dehydrogenase..1.1.1.157."," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0","31"," 0","16","22"," 9","16"," 0"
"X7.alpha.hydroxysteroid.dehydrogenase..1.1.1.159.","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"Erythrulose.reductase..1.1.1.162.","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0"
"Cyclopentanol.dehydrogenase..1.1.1.163.","0","0","0","0","0","0","2","0","1","0","0","0","1","0","0","0","0"
"X2.dehydropantoate.2.reductase..1.1.1.169."," 0"," 0"," 0"," 0"," 9"," 0"," 9"," 4"," 4"," 2","42"," 9","21"," 9","15","12"," 0"
"Mannitol.1.phosphate.5.dehydrogenase..1.1.1.17."," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 0"," 4"," 1"," 8"," 2","13"," 0"," 6"," 0"," 0"
"X.decarboxylating...1.1.1.170.","1","0","0","0","0","0","0","0","0","0","2","0","1","0","1","1","0"
"D.xylose.1.dehydrogenase..1.1.1.175.","0","0","0","0","0","0","0","0","1","0","3","0","1","1","0","4","0"
"X3.hydroxy.2.methylbutyryl.CoA.dehydrogenase..1.1.1.178."," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0","12"," 0"
"D.xylose.1.dehydrogenase..NADP......1.1.1.179.","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0"
"Inositol.2.dehydrogenase..1.1.1.18."," 0"," 0"," 0"," 0"," 4"," 6"," 1","15","13"," 0","14"," 8","17"," 9"," 9","19"," 0"
"Carbonyl.reductase..NADPH...1.1.1.184.","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"GDP.4.dehydro.D.rhamnose.reductase..1.1.1.187.","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"X5.amino.6..5.phosphoribosylamino.uracil.reductase..1.1.1.193.","0","0","0","0","1","0","3","0","0","0","3","0","0","0","5","4","0"
"Cinnamyl.alcohol.dehydrogenase..1.1.1.195.","0","0","0","0","1","0","0","0","2","0","3","0","0","0","0","0","0"
"Alcohol.dehydrogenase..NADP......1.1.1.2."," 0"," 1"," 0"," 0"," 4"," 8"," 8","10"," 0"," 0","20"," 6","17"," 6"," 3"," 7"," 3"
"Glucuronolactone.reductase..1.1.1.20.","0","0","0","1","2","0","0","0","2","0","1","0","6","0","0","2","0"
