"","PHYLLO09","PHYLLO10","PHYLLO11","PHYLLO12","PHYLLO13","PHYLLO14","PHYLLO15","PHYLLO16","PHYLLO21","PHYLLO22","PHYLLO23","PHYLLO24","PHYLLO25","PHYLLO26","PHYLLO27","PHYLLO28","PHYLLO29"
"X.alpha.1.6.mannosyltransferase.activity..GO.0000009..","0","0","0","0","2","0","0","0","0","1","1","0","0","0","0","0","0"
"X.alpha.1.2.mannosyltransferase.activity..GO.0000026..","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"mannosyltransferase.activity..GO.0000030."," 0"," 0"," 0"," 0"," 9","13"," 1"," 4","10"," 4","15"," 0","13","10","22"," 9"," 3"
"adenine.deaminase.activity..GO.0000034."," 0"," 0"," 0"," 1"," 7"," 0"," 3"," 3"," 5"," 4","32"," 3","24","20","10","23"," 0"
"ACP.phosphopantetheine.attachment.site.binding.involved.in.fatty.acid.biosynthetic.process..GO.0000036."," 0"," 0"," 1"," 0"," 1"," 0"," 1"," 2"," 1"," 0","14"," 0"," 5"," 0"," 0"," 1"," 0"
"tRNA.binding..GO.0000049.","  0","  5","  0","  1","232"," 55","161","152","168","115","869","120","562","463","330","661"," 29"
"fatty.acyl.CoA.binding..GO.0000062.","0","0","0","1","1","2","0","0","3","1","7","2","5","2","5","1","0"
"succinate.dehydrogenase.activity..GO.0000104."," 0"," 0"," 0"," 0","26","26"," 9"," 6"," 7","15","88"," 9","77","30","41","58"," 0"
"imidazoleglycerol.phosphate.synthase.activity..GO.0000107."," 0"," 0"," 0"," 0","11"," 3"," 3"," 6"," 5"," 8","64"," 5","32","28","21","35"," 1"
"microfilament.motor.activity..GO.0000146.","0","0","0","0","0","0","0","0","1","0","1","0","0","1","1","0","0"
"recombinase.activity..GO.0000150."," 0"," 0"," 0"," 0","23"," 7","18","17","10"," 5","75"," 1","42","56","49","59"," 0"
"phosphorelay.sensor.kinase.activity..GO.0000155.","   0"," 158","   0","   0"," 587"," 171"," 259"," 398"," 447"," 116","2429"," 408","1867","1427"," 702","2038","  30"
"phosphorelay.response.regulator.activity..GO.0000156.","   0","  83","   0","   0"," 533"," 150"," 232"," 367"," 380"," 120","1939"," 329","1565","1246"," 626","1571","  29"
"nucleotide.binding..GO.0000166.","  0","  0","  0","  0","259"," 57"," 93","164","170","105","713"," 76","430","336","243","439","  0"
"X3..5..exoribonuclease.activity..GO.0000175.","  0","  0","  0","  0"," 25","  0"," 13"," 17"," 14"," 14","113","  5"," 86"," 50"," 39"," 72","  1"
"X.rRNA..adenine.N6.N6...dimethyltransferase.activity..GO.0000179.."," 0"," 0"," 0"," 0"," 9"," 3","11","16","11"," 6","56"," 8","35","45","22","46"," 1"
"NAD..diphosphatase.activity..GO.0000210."," 0"," 0"," 0"," 2"," 8"," 1"," 1"," 0"," 6"," 2"," 1"," 1","10"," 0"," 7"," 2"," 2"
"tRNA.intron.endonuclease.activity..GO.0000213.","0","0","0","0","0","0","0","1","0","0","1","0","1","0","1","0","0"
"C.22.sterol.desaturase.activity..GO.0000249.","0","0","0","1","0","0","1","0","0","0","2","0","0","0","0","0","0"
"nitrilase.activity..GO.0000257.","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0"
"alanine.dehydrogenase.activity..GO.0000286."," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 1"," 0"," 0","18"," 0","14","20","14","31"," 0"
"magnesium.ion.binding..GO.0000287.","   0","   0","   0","   0"," 923"," 224"," 494"," 635"," 627"," 494","3177"," 463","2220","1849","1257","2325"," 134"
"endopolyphosphatase.activity..GO.0000298.","0","0","0","0","2","0","0","0","0","0","1","0","1","0","2","0","0"
"nicotinamide.nucleotide.adenylyltransferase.activity..GO.0000309.","0","0","1","1","0","1","1","0","2","2","3","0","2","1","7","2","0"
"xanthine.phosphoribosyltransferase.activity..GO.0000310."," 0"," 0"," 0"," 0"," 2"," 3"," 3"," 2"," 1"," 6","18"," 4"," 6"," 0"," 2"," 7"," 0"
"X.3.hydroxyanthranilate.3.4.dioxygenase.activity..GO.0000334..","0","0","0","0","0","1","0","1","0","0","5","0","1","1","0","1","0"
"RNA.cap.binding..GO.0000339.","0","0","0","0","4","0","0","0","0","0","3","0","0","0","0","0","0"
"X..R.R..butanediol.dehydrogenase.activity..GO.0000721..","0","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0"
"adenyl.nucleotide.exchange.factor.activity..GO.0000774."," 0"," 0"," 0"," 0"," 4"," 3"," 3"," 6"," 0"," 0","24"," 5","12"," 8"," 3"," 4"," 0"
"inositol.heptakisphosphate.kinase.activity..GO.0000829.","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"inositol.hexakisphosphate.4.kinase.activity..GO.0000830.","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"inositol.hexakisphosphate.6.kinase.activity..GO.0000831.","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"X.6.7.dimethyl.8.ribityllumazine.synthase.activity..GO.0000906.."," 0"," 0"," 0"," 0"," 9"," 0"," 1"," 1"," 9"," 1","21"," 1","11"," 9"," 3"," 4"," 0"
"taurine.dioxygenase.activity..GO.0000908."," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 0"," 0","10"," 0","11"," 7"," 0","14"," 0"
"RNA.polymerase.II.core.promoter.proximal.region.sequence.specific.DNA.binding..GO.0000978.","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0"
"sequence.specific.DNA.binding.RNA.polymerase.II.transcription.factor.activity..GO.0000981.","  0","  0","  0","  0","101","  4"," 19"," 11","  3","  7","202","  0","138"," 27"," 31"," 23","  0"
"RNA.polymerase.II.core.promoter.proximal.region.sequence.specific.DNA.binding.transcription.factor.activity..GO.0000982.","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"bacterial.type.RNA.polymerase.core.promoter.proximal.region.sequence.specific.DNA.binding..GO.0000986.","0","0","0","0","1","1","0","0","0","0","1","2","0","1","0","0","0"
"nucleic.acid.binding.transcription.factor.activity..GO.0001071."," 0"," 0"," 0"," 0"," 2"," 3"," 0"," 3"," 1"," 3"," 2"," 5"," 6"," 1","14"," 2"," 1"
"DNA.binding.transcription.antitermination.factor.activity..GO.0001073.","0","0","0","0","0","4","4","1","0","0","4","0","3","0","0","1","1"
"RNA.polymerase.II.transcription.cofactor.activity..GO.0001104."," 0"," 0"," 0"," 0"," 9"," 0"," 3"," 2"," 4"," 3","25"," 0","13"," 0"," 5"," 4"," 0"
"guanine.nucleotide.transmembrane.transporter.activity..GO.0001409.","0","0","0","0","2","0","1","0","0","0","0","0","0","1","0","0","0"
"dihydronicotinamide.riboside.quinone.reductase.activity..GO.0001512."," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","10"," 1"," 6"," 3"," 1"," 4"," 0"
"lipopolysaccharide.binding..GO.0001530.","0","0","0","0","4","0","1","0","0","3","5","0","7","0","4","1","0"
"ATPase.activator.activity..GO.0001671.","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
"sialate.O.acetylesterase.activity..GO.0001681.","0","1","0","0","0","0","0","0","1","0","1","0","0","0","3","0","0"
"L.amino.acid.oxidase.activity..GO.0001716.","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"lipid.kinase.activity..GO.0001727.","0","0","0","0","0","0","0","0","0","0","2","0","2","0","4","0","0"
"prenylcysteine.oxidase.activity..GO.0001735.","0","0","0","0","0","0","0","1","0","0","2","0","1","0","0","0","0"
"aminocarboxymuconate.semialdehyde.decarboxylase.activity..GO.0001760.","0","0","0","0","0","0","0","0","0","0","0","1","0","2","1","0","0"
"nucleoside.binding..GO.0001882."," 0"," 0"," 0"," 1","20"," 9"," 6"," 8","15"," 6","33","11","38","20"," 6","20"," 1"
"purine.nucleoside.binding..GO.0001883.","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0"
"X4.hydroxybenzoate.decaprenyltransferase.activity..GO.0002083.","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0"
"polyprenyltransferase.activity..GO.0002094.","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"aminoacyl.tRNA.editing.activity..GO.0002161.","  0","  0","  0","  0","170"," 18"," 81","106"," 98"," 63","628"," 87","402","385","234","474"," 22"
"tRNA..adenine.C2...methyltransferase.activity..GO.0002935."," 0"," 0"," 0"," 0","21"," 4"," 2"," 8","10"," 4","55"," 4","41","38","27","44"," 2"
"nucleic.acid.binding..GO.0003676.","   0","   0","   0","   0"," 966"," 354"," 362"," 427"," 648"," 511","2249"," 243","1402","1196"," 799","1557","  75"
"DNA.binding..GO.0003677.","    0","   17","    0","    0"," 3971"," 1390"," 1847"," 1984"," 2247"," 1517","10965"," 1519"," 7378"," 5759"," 4325"," 7620","  148"
"DNA.helicase.activity..GO.0003678.","  0","  0","  0","  4"," 33"," 45"," 38"," 39"," 42"," 85","200"," 27","129","103"," 74","123"," 20"
"bent.DNA.binding..GO.0003681.","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"chromatin.binding..GO.0003682."," 0"," 0"," 1"," 1","28","10","10"," 0","12","14","22"," 0","25"," 5"," 4"," 0"," 1"
"damaged.DNA.binding..GO.0003684.","  0","  3","  0","  7","172"," 76","112","124","142"," 90","549"," 89","400","295","219","434"," 27"
"DNA.replication.origin.binding..GO.0003688.","  0","  0","  0","  0"," 30","  0"," 20"," 20"," 18"," 17","120","  4"," 40"," 37"," 30"," 60","  0"
"DNA.clamp.loader.activity..GO.0003689.","0","0","0","0","3","0","2","0","1","2","4","0","6","0","0","2","0"
"double.stranded.DNA.binding..GO.0003690."," 0"," 1"," 0"," 0","20"," 5","10","12"," 5"," 5","39"," 4","26","20","18","36"," 4"
"single.stranded.DNA.binding..GO.0003697.","  0","  0","  0","  0"," 43"," 14"," 37"," 30"," 25"," 33","146"," 17","105"," 74"," 56","100"," 16"
"sequence.specific.DNA.binding.transcription.factor.activity..GO.0003700.","   0","  38","   0","   0"," 996"," 417"," 516"," 556"," 625"," 292","3573"," 632","2820","1817","1396","2285","   0"
"steroid.hormone.receptor.activity..GO.0003707.","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0"
"transcription.cofactor.activity..GO.0003712.","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","1"
"transcription.coactivator.activity..GO.0003713.","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0"
"telomeric.template.RNA.reverse.transcriptase.activity..GO.0003721.","0","0","0","0","1","0","0","0","0","0","1","3","4","0","0","0","0"
"RNA.binding..GO.0003723.","   0","   0","   0","   0"," 534","  46"," 107"," 222"," 292"," 490","1805","  56","1280"," 718"," 457","1066","   0"
"double.stranded.RNA.binding..GO.0003725."," 0"," 0"," 0"," 0","14"," 6"," 3"," 6"," 4"," 7","24"," 0","32","25"," 8","19"," 0"
"single.stranded.RNA.binding..GO.0003727."," 0"," 1"," 0"," 1"," 4"," 6"," 1"," 3"," 1"," 4","13"," 2","10"," 6"," 1"," 5"," 1"
"mRNA.binding..GO.0003729."," 2"," 3"," 0"," 1","11"," 4"," 3"," 6"," 9","21","44"," 5","28","31","17","34"," 7"
"structural.constituent.of.ribosome..GO.0003735.","   0","  58","   0","   0"," 292","  78"," 188"," 201"," 231"," 185","1087"," 123"," 764"," 620"," 475"," 858","  70"
"translation.initiation.factor.activity..GO.0003743.","  0","  2","  0","  2"," 79"," 20"," 38"," 45"," 58"," 54","217"," 28","135","113"," 79","142","  3"
"translation.elongation.factor.activity..GO.0003746.","  0"," 51","  0","  0","140"," 18","116","120","118","136","528"," 64","443","392","295","406"," 15"
"translation.release.factor.activity..GO.0003747.","0","0","0","0","6","0","0","0","1","0","5","0","1","0","1","6","0"
"peptidyl.prolyl.cis.trans.isomerase.activity..GO.0003755.","  0","  9","  0"," 13","158"," 61"," 78"," 91","111"," 56","493"," 98","311","195","123","235","  0"
"protein.disulfide.isomerase.activity..GO.0003756.","0","0","0","0","3","0","0","0","0","1","5","0","0","0","5","1","0"
"motor.activity..GO.0003774.","  0"," 13","  0","  3"," 55"," 74"," 30"," 37"," 55"," 36","318"," 82","232","117","102","196","  0"
"microtubule.motor.activity..GO.0003777."," 0"," 0"," 0"," 0","69","10","11","10","43","28","54"," 6","51","19"," 9","12"," 0"
"actin.binding..GO.0003779.","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"lysozyme.activity..GO.0003796."," 0"," 5"," 0"," 0","35"," 1","12"," 6"," 7"," 6","46"," 4","14","41"," 4","12"," 0"
"protein.glutamine.gamma.glutamyltransferase.activity..GO.0003810.","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"catalytic.activity..GO.0003824.","   0","   0","   0","   0","1174"," 187"," 456"," 697"," 672"," 366","3603"," 400","2422","2064","1272","2559","  86"
"X.alpha.alpha.trehalose.phosphate.synthase..UDP.forming..activity..GO.0003825.."," 0"," 0"," 0"," 0"," 5"," 2"," 0"," 1"," 9"," 0","74"," 7","40","23","20","39"," 0"
"X.beta.1.4.mannosylglycoprotein.4.beta.N.acetylglucosaminyltransferase.activity..GO.0003830..","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0"
"X.beta.carotene.15.15..monooxygenase.activity..GO.0003834..","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0"
"beta.ureidopropionase.activity..GO.0003837.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
