"","PHYLLO09","PHYLLO10","PHYLLO11","PHYLLO12","PHYLLO13","PHYLLO14","PHYLLO15","PHYLLO16","PHYLLO21","PHYLLO22","PHYLLO23","PHYLLO24","PHYLLO25","PHYLLO26","PHYLLO27","PHYLLO28","PHYLLO29"
"mitochondrion.inheritance..GO.0000001.","0","0","0","2","2","1","2","4","3","0","5","0","7","2","3","2","1"
"mitochondrial.genome.maintenance..GO.0000002.","0","0","0","0","5","0","0","0","3","1","1","0","3","1","3","1","0"
"vacuole.inheritance..GO.0000011.","0","0","0","2","4","0","0","4","3","1","5","0","5","1","3","2","0"
"ribosomal.large.subunit.assembly..GO.0000027."," 0"," 0"," 0"," 0","20","10"," 8"," 7"," 7","28","29","11","29","16","26","22"," 4"
"ribosomal.small.subunit.assembly..GO.0000028.","0","0","0","2","4","0","0","0","1","0","4","2","3","0","0","0","0"
"cell.wall.mannoprotein.biosynthetic.process..GO.0000032.","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"transition.metal.ion.transport..GO.0000041."," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","13"," 0"," 2"," 7"," 0"," 7"," 0"
"protein.targeting.to.Golgi..GO.0000042.","0","0","0","0","0","1","0","0","1","0","4","0","3","0","2","0","0"
"autophagic.vacuole.assembly..GO.0000045.","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"ribosomal.subunit.export.from.nucleus..GO.0000054.","1","0","0","0","1","0","0","2","1","1","1","0","0","0","0","0","0"
"ribosomal.large.subunit.export.from.nucleus..GO.0000055.","0","0","2","0","7","0","2","4","0","6","7","0","4","2","1","5","0"
"ribosomal.small.subunit.export.from.nucleus..GO.0000056.","1","0","0","0","1","0","0","0","1","0","0","0","0","2","1","0","0"
"cell.cycle.checkpoint..GO.0000075.","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0"
"DNA.replication.checkpoint..GO.0000076.","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"DNA.damage.checkpoint..GO.0000077.","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"regulation.of.cyclin.dependent.protein.serine.threonine.kinase.activity..GO.0000079."," 0"," 0"," 0"," 2"," 4"," 2"," 0"," 2"," 7"," 4","14"," 0","11"," 2"," 2"," 4"," 0"
"G1.S.transition.of.mitotic.cell.cycle..GO.0000082.","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"sulfate.assimilation..GO.0000103."," 0"," 0"," 0"," 0","18","18","17","10","18","31","87"," 8","54","24","31","53"," 0"
"histidine.biosynthetic.process..GO.0000105.","  0","  0","  0","  5","123"," 29"," 55"," 50"," 80"," 71","378"," 35","269","191","122","285"," 11"
"negative.regulation.of.transcription.from.RNA.polymerase.II.promoter..GO.0000122.","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0"
"establishment.of.mitotic.spindle.orientation..GO.0000132.","1","1","0","2","2","3","1","5","6","0","7","0","6","3","4","5","0"
"phosphorelay.signal.transduction.system..GO.0000160."," 0"," 0"," 0"," 0"," 8"," 2"," 0"," 3"," 0"," 5","41"," 7","22","19","18","26"," 0"
"tryptophan.biosynthetic.process..GO.0000162.","  0","  0","  0","  0"," 43"," 11"," 16"," 22"," 30"," 28","147"," 32"," 75"," 55"," 55","100","  3"
"MAPK.cascade..GO.0000165.","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"activation.of.MAPKK.activity.involved.in.osmosensory.signaling.pathway..GO.0000168.","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"chromatin.silencing.at.rDNA..GO.0000183.","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0"
"nuclear.transcribed.mRNA.catabolic.process..nonsense.mediated.decay..GO.0000184."," 0"," 0"," 0"," 2","10"," 2"," 1"," 1"," 3"," 0"," 2"," 2"," 6"," 3"," 2"," 0"," 1"
"microtubule.cytoskeleton.organization..GO.0000226.","0","0","0","0","4","1","1","0","0","2","4","0","7","0","0","0","0"
"spliceosomal.tri.snRNP.complex.assembly..GO.0000244.","0","0","0","0","4","0","0","0","0","1","2","0","3","0","0","0","0"
