"","PHYLLO09","PHYLLO10","PHYLLO11","PHYLLO12","PHYLLO13","PHYLLO14","PHYLLO15","PHYLLO16","PHYLLO21","PHYLLO22","PHYLLO23","PHYLLO24","PHYLLO25","PHYLLO26","PHYLLO27","PHYLLO28","PHYLLO29"
"X7.transmembrane.receptor..rhodopsin.family...PF00001.","0","0","1","0","0","0","0","0","0","9","1","3","0","0","0","0","0"
"X7.transmembrane.receptor..Secretin.family...PF00002.","1","0","1","0","0","0","0","0","1","2","0","2","0","0","0","0","0"
"X7.transmembrane.sweet.taste.receptor.of.3.GCPR..PF00003.","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"ATPase.family.associated.with.various.cellular.activities..AAA...PF00004.","  0","  0","  0","  0","316"," 46","120","127","197","163","887"," 89","556","506","352","659"," 25"
"ABC.transporter..PF00005.","   0","  87","   0","   0"," 944"," 306"," 469"," 571"," 594"," 342","3203"," 518","2320","1979","1383","2503","  56"
"ATP.synthase.alpha.beta.family..nucleotide.binding.domain..PF00006.","  0"," 16","  0","  0","106"," 30"," 47"," 77"," 71"," 81","367"," 42","235","196","146","305","  8"
"EGF.like.domain..PF00008."," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0","12"," 1"," 0"," 0"," 0"," 1"," 0"," 1"
"Elongation.factor.Tu.GTP.binding.domain..PF00009.","  0"," 71","  0","  0","213"," 26","125","157","141","168","777"," 74","585","531","338","616"," 12"
"Helix.loop.helix.DNA.binding.domain..PF00010."," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 1"," 4"," 5","14"," 1"," 4"," 0"," 2"," 0"," 0"
"Hsp20.alpha.crystallin.family..PF00011."," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 4"," 0","14"," 0","10","13","17"," 9"," 0"
"Hsp70.protein..PF00012.","  0","  2","  0","  4"," 89"," 11"," 29"," 38"," 45"," 52","240"," 26","135","116"," 85","144","  0"
"KH.domain..PF00013.","  0","  1","  0","  0"," 44","  0"," 21"," 37"," 21"," 22","158","  6","116"," 77"," 52"," 90","  4"
"Kunitz.Bovine.pancreatic.trypsin.inhibitor.domain..PF00014.","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"Methyl.accepting.chemotaxis.protein..MCP..signalling.domain..PF00015.","  5"," 13","  0","  0"," 92"," 53"," 47"," 37"," 76","  0","656","161","534","248","145","476","  0"
"Ribulose.bisphosphate.carboxylase.large.chain..catalytic.domain..PF00016.","0","0","0","0","6","1","1","1","3","1","1","0","3","5","1","9","0"
"SH2.domain..PF00017.","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0"
"SH3.domain..PF00018."," 0"," 0"," 0"," 0","11"," 4"," 0"," 0","10","14","13"," 1","14"," 4"," 1"," 1"," 0"
"TNFR.NGFR.cysteine.rich.region..PF00020.","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Actin..PF00022."," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 3"," 0","11"," 0"," 6"," 0"," 0"," 0"," 0"
"Ankyrin.repeat..PF00023."," 0"," 0"," 0"," 0","26"," 4"," 5"," 1"," 8"," 8","30"," 0","27"," 6"," 7","13"," 0"
"PAN.domain..PF00024.","1","0","1","0","1","0","0","0","1","2","3","2","2","1","0","3","1"
"ADP.ribosylation.factor.family..PF00025.","0","0","0","0","4","0","0","0","0","0","0","0","3","1","0","4","0"
"Eukaryotic.aspartyl.protease..PF00026."," 0"," 0"," 0"," 0"," 8"," 0"," 0"," 0"," 0"," 0","10"," 5"," 5"," 0"," 3"," 3"," 0"
"Cyclic.nucleotide.binding.domain..PF00027.","  1"," 11","  0","  0"," 41"," 13"," 12"," 21"," 19"," 14","153"," 16","109","114"," 41","148","  2"
"Cadherin.domain..PF00028."," 0"," 0"," 3"," 0"," 0"," 0"," 0"," 1"," 6"," 6"," 0"," 2","11"," 1"," 2"," 4"," 0"
