"","PHYLLO09","PHYLLO10","PHYLLO11","PHYLLO12","PHYLLO13","PHYLLO14","PHYLLO15","PHYLLO16","PHYLLO21","PHYLLO22","PHYLLO23","PHYLLO24","PHYLLO25","PHYLLO26","PHYLLO27","PHYLLO28","PHYLLO29"
"total","     0","     0","     0","   310","104486"," 27104"," 36788"," 47418"," 61717"," 44816","253924"," 29152","175541","154959","107600","197373","  8654"
"Abiotrophia","0","0","0","0","0","0","1","0","0","0","3","0","1","4","1","0","1"
"Acanthamoeba","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Acaryochloris","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0"
"Acetobacter","0","0","0","1","2","0","0","1","2","0","1","1","1","1","6","7","0"
"X.Acetobacteraceae."," 0"," 0"," 0"," 0","70"," 0"," 0"," 4","30"," 1"," 8"," 0"," 4","31","56","41"," 0"
"Acetohalobium","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Acetonema","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
"X.Acetothermia.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Acholeplasma","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"Achromobacter","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"X.Acidaminococcaceae.","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"Acidaminococcus","0","1","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0"
"Acidianus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Acidilobus","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0"
"X.Acidimicrobiaceae.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"Acidimicrobium","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","0"
"Acidiphilium","0","0","0","0","2","0","0","0","0","0","0","0","2","0","0","4","0"
"Acidithiobacillus","0","0","0","0","0","1","0","0","0","0","4","0","0","2","0","1","0"
"X.Acidobacteria.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"X.Acidobacteriaceae.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"X.Acidobacteriales.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Acidobacterium","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0"
"Acidocella","0","0","0","0","1","0","0","0","4","0","0","0","0","0","0","0","0"
"Acidomonas","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","3","0"
"Acidothermus","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","0","0"
"Acidovorax"," 118","1086","   0","   0","   0","   0","   0","  20","   0","   0","8373","1168","2303","3893"," 165","6485","   0"
"Acinetobacter","    0"," 1419","    0","  878","10738"," 2272"," 5532"," 5265"," 5288"," 6265","19925"," 2907","10531"," 1905","  119","  776","    0"
"Acremonium","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Acromyrmex","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Acropora","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"Actibacterium","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","2","0"
"Actinobacillus","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0"
"X.Actinobacteria.","  0","  0","  0","  0"," 41","  0","  5"," 84","  0","  0","300","  0","217","723","620","673"," 50"
"Actinobaculum","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Actinokineospora","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","1","0"
"Actinomyces","0","0","0","0","5","0","0","0","0","0","4","0","0","0","0","3","0"
"X.Actinomycetaceae."," 0"," 0"," 0"," 0"," 1"," 0"," 2"," 0"," 0"," 0","12"," 0"," 4"," 2"," 0"," 1"," 0"
"X.Actinomycetales.","   0","   0","   0","   0","1314","   0"," 324"," 739","   0","   0","3323","   0","2619","5433","3743","5120"," 396"
"Actinoplanes"," 0"," 0"," 0"," 0","14"," 0"," 0"," 0"," 0"," 0","50"," 0","21","77","29","95"," 0"
"Actinosynnema"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0","10"," 1"," 2"," 0"
"Actinotalea","0","0","0","0","2","2","0","5","2","0","3","0","2","6","9","9","2"
"Acyrthosiphon","  0","  0","  0","  3"," 23"," 28","  0","  3","  7","155","  8","  1","  4","  6","  9","  0","  0"
"X.Adenoviridae.","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","1","0"
"Adineta","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Adlercreutzia","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"Advenella","0","0","0","0","8","0","0","0","3","0","2","0","2","2","2","1","0"
"Aedes","0","0","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0"
"Aequorivita"," 0"," 0"," 0"," 0"," 1"," 1"," 0"," 5","14"," 0"," 5"," 0"," 2"," 2"," 1"," 4"," 1"
"X.Aerococcaceae.","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","3","0"
"Aerococcus"," 0"," 0"," 0"," 0","35","11"," 7"," 6","32"," 2","15"," 0","10"," 1"," 1"," 6"," 0"
"Aeromicrobium","0","0","0","0","3","0","0","0","0","0","0","0","1","8","0","7","0"
"X.Aeromonadales.","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"Aeromonas","0","0","0","0","3","2","0","0","3","0","2","0","1","0","0","0","0"
"Afipia","0","0","0","0","5","0","0","0","0","0","0","0","0","3","4","2","0"
"X.Agaricales.","0","0","0","1","4","0","0","0","1","0","0","0","2","0","1","0","1"
"X.Agaricomycetes."," 0"," 0"," 0"," 3","22"," 6"," 4"," 5","24"," 4"," 8"," 0"," 4"," 1"," 2"," 0"," 0"
"Agaricus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Agarivorans","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Aggregatibacter","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0"
"Agrius","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"Agrobacterium","  0","  2","  0","  0","  5","  0","  3","  2","  3","  0"," 74","  0","  5"," 70"," 53","301","  3"
"Agrococcus"," 0"," 0"," 0"," 0"," 4"," 1"," 1","33"," 5"," 0","14"," 0","25","14","12","11"," 1"
