"","PHYLLO09","PHYLLO10","PHYLLO11","PHYLLO12","PHYLLO13","PHYLLO14","PHYLLO15","PHYLLO16","PHYLLO21","PHYLLO22","PHYLLO23","PHYLLO24","PHYLLO25","PHYLLO26","PHYLLO27","PHYLLO28","PHYLLO29"
"ribosomal.protein.L35..TIGR00001.","0","0","0","1","0","0","2","1","2","0","8","0","2","1","1","1","1"
"ribosomal.protein.S16..TIGR00002.","0","0","0","0","1","0","1","4","2","1","9","0","8","3","7","8","0"
"copper.ion.binding.protein..TIGR00003."," 0"," 1"," 0","11","20"," 1","12","11","13","12","44"," 2","13"," 5"," 6","13"," 0"
"reactive.intermediate.imine.deaminase..TIGR00004."," 1"," 3"," 0"," 2"," 2"," 1"," 2"," 3"," 2"," 1","17"," 4"," 9"," 2"," 3","10"," 0"
"pseudouridine.synthase..RluA.family..TIGR00005."," 3","23"," 2"," 0","34","15","24","16"," 9","26","85","26","81","37","30","44"," 3"
"X16S.rRNA..cytosine.1402..N.4...methyltransferase..TIGR00006."," 0"," 0"," 0"," 1"," 4"," 3"," 0"," 8"," 5"," 2","30"," 5","12","15"," 8","18"," 1"
"X1..5.phosphoribosyl..5...5.phosphoribosylamino.methylideneamino.imidazole.4.carboxamide.isomerase..TIGR00007."," 0"," 1"," 0"," 2"," 6"," 2"," 0"," 3","10"," 8","24"," 4","25","14"," 2","29"," 0"
"translation.initiation.factor.IF.1..TIGR00008."," 1"," 1"," 0"," 0"," 5"," 1"," 6"," 8"," 4"," 1","12"," 3"," 4"," 1"," 1"," 9"," 0"
"ribosomal.protein.L28..TIGR00009."," 1"," 1"," 0"," 2"," 4"," 4"," 3"," 1"," 3"," 3","11"," 1"," 2"," 2"," 5"," 7"," 1"
"hydrolase..TatD.family..TIGR00010."," 3","40"," 0"," 2","12"," 5","11","10"," 9"," 4","41"," 6","24","18","12","30"," 0"
"Cys.tRNA.Pro..deacylase..TIGR00011.","0","1","0","3","2","0","4","1","1","0","6","1","3","6","3","4","0"
"ribosomal.protein.L29..TIGR00012.","0","0","0","1","1","0","0","0","5","0","4","0","3","0","1","1","0"
"X4.oxalocrotonate.tautomerase.family.enzyme..TIGR00013.","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","1","0"
"arsenate.reductase..glutaredoxin...TIGR00014."," 0"," 0"," 0"," 0","15"," 2"," 2"," 0"," 7"," 2","11"," 4","17","13"," 2"," 9"," 0"
"acetate.kinase..TIGR00016."," 0"," 0"," 0"," 0"," 6"," 2"," 0"," 7"," 6"," 8","25"," 4","26","10","21","12"," 0"
"cytidylate.kinase..TIGR00017."," 0"," 0"," 0"," 0"," 4"," 0"," 1"," 5"," 1"," 0","29"," 4","19","11"," 4","31"," 2"
"pantoate..beta.alanine.ligase..TIGR00018."," 0"," 0"," 0"," 0"," 8"," 0"," 0"," 0"," 8"," 1","20"," 0","15","15","10"," 7"," 0"
"peptide.chain.release.factor.1..TIGR00019."," 0"," 1"," 0"," 3","19"," 2"," 6","15"," 7"," 8","69","10","40","28","19","37"," 1"
"peptide.chain.release.factor.2..TIGR00020."," 0"," 0"," 0"," 0","13"," 4"," 1","12"," 5","10","61"," 2","35","43","19","46"," 0"
"ribose.5.phosphate.isomerase.A..TIGR00021."," 1"," 3"," 0"," 0","11"," 3"," 5"," 1"," 5"," 5","10"," 3","20"," 0"," 7"," 7"," 2"
"YhcH.YjgK.YiaL.family.protein..TIGR00022.","0","0","0","0","1","1","0","0","0","0","4","1","1","1","7","1","0"
"acyl.phosphate.glycerol.3.phosphate.acyltransferase..TIGR00023."," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0","10"," 0"," 5"," 0"," 0"," 6"," 0"
"ABC.transporter.efflux.protein..DrrB.family..TIGR00025.","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"deazaflavin.dependent.oxidoreductase..nitroreductase.family..TIGR00026.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","0"
"methyltransferase..TIGR00027.family..TIGR00027.","0","0","0","0","0","0","0","0","0","0","0","0","1","3","0","0","0"
"ribosomal.protein.S20..TIGR00029.","0","0","0","0","0","1","0","0","2","2","0","1","2","1","4","7","0"
"ribosomal.protein.S21..TIGR00030.","0","0","0","0","0","2","0","1","0","3","0","0","2","0","1","0","0"
"UDP.galactopyranose.mutase..TIGR00031."," 0"," 0"," 0"," 0"," 5"," 0"," 5"," 6"," 0"," 4","32"," 0","32","40","17","47"," 2"
"argininosuccinate.synthase..TIGR00032."," 3"," 2"," 0"," 3","32","12"," 8","20","22","25","92","18","35","80","42","60"," 9"
"chorismate.synthase..TIGR00033."," 0"," 0"," 0"," 0"," 8"," 3"," 0"," 0"," 8"," 3","40"," 1","34","18"," 9","23"," 0"
"X3.deoxy.7.phosphoheptulonate.synthase..TIGR00034."," 0"," 0"," 0"," 0","24"," 7"," 2"," 0"," 9","17","74","13","44","10","26","23"," 0"
"aspartate.racemase..TIGR00035."," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1","24"," 0","13"," 8"," 1","10"," 0"
"X4.hydroxy.tetrahydrodipicolinate.reductase..TIGR00036."," 0"," 0"," 0"," 0"," 6"," 5"," 3"," 5","14"," 8","38"," 2","25"," 9","15","16"," 0"
"translation.elongation.factor.IF5A..TIGR00037.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"translation.elongation.factor.P..TIGR00038."," 0"," 0"," 0"," 0"," 5"," 0","12"," 7","11"," 6","40"," 3","22","20"," 8","28"," 0"
"X6.pyruvoyl.tetrahydropterin.synthase.QueD.family.protein..TIGR00039.","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0"
"phosphodiesterase..MJ0936.family..TIGR00040.","0","0","0","0","0","0","0","0","0","0","0","0","4","3","4","3","0"
