"Annotation","mean_group1","sd_group1","mean_group2","sd_group2","p.val","p.adj"
"DNA.replication..GO.0006260.",261.358044751996,226.913334478411,417.487622725732,14.6573531864936,8.3139934632801e-25,3.19257348989956e-22
"chromosome.segregation..GO.0007059.",80.1606460094937,69.6411964360167,142.834338662904,16.3210806685462,7.55888346522802e-13,9.67537083549186e-11
"thiamine.biosynthetic.process..GO.0009228.",66.5709817106303,58.6687804721001,124.895040052416,4.77745392424994,6.90738654560624e-13,9.67537083549186e-11
"chemotaxis..GO.0006935.",181.614133493469,106.273609211645,263.708713362262,228.769801775884,2.0968483707088e-11,2.01297443588045e-09
"DNA.restriction.modification.system..GO.0009307.",16.4484973404502,14.2455000215809,45.2343712897952,39.2388044247764,1.16278923524478e-09,8.9302213266799e-08
"DNA.templated.transcription..termination..GO.0006353.",23.0293387715288,19.9924436072132,54.7890119177698,11.6873707490949,1.4965956812071e-09,9.57821235972542e-08
"amino.acid.transport..GO.0006865.",56.3395232453167,53.9009066580027,99.4773981529045,86.2784699587405,3.51559368084104e-09,1.92855424777566e-07
"hydrogen.peroxide.catabolic.process..GO.0042744.",37.9804511257582,33.7023910350148,74.3472240770363,16.2185633019272,5.45123441594473e-09,2.61659251965347e-07
"base.excision.repair..GO.0006284.",50.4148955708654,43.9030596914309,88.3530990971071,1.37169489922452,3.68244389200539e-08,1.57117606058897e-06
"terpenoid.biosynthetic.process..GO.0016114.",63.9760766665929,57.2476048460648,103.361663211086,8.98206232521894,1.75983408070542e-07,6.75776286990882e-06
"riboflavin.biosynthetic.process..GO.0009231.",52.5111612126078,45.5454853582434,88.4620048899254,22.9399430423802,2.15665498950139e-07,6.90129596640446e-06
"guanosine.tetraphosphate.metabolic.process..GO.0015969.",48.2046971165794,41.7664977799725,83.008761154845,2.12950897714225,2.01260854523376e-07,6.90129596640446e-06
"phenylalanyl.tRNA.aminoacylation..GO.0006432.",32.9824442903082,29.5444660548498,62.3087406030982,5.6410848015962,3.11120318131891e-07,9.19001555097278e-06
