"Annotation","mean_group1","sd_group1","mean_group2","sd_group2","p.val","p.adj"
"total",31784.5541414789,27552.1509641645,75301.7291710161,9820.45860682675,0,0
"X.Enterobacteriaceae.",1895.14915963949,2111.81129039018,7306.74706829339,5665.50565777014,0,0
"Pseudomonas",1136.55368090246,1035.58178321106,2685.86059071072,1571.1036295933,0,0
"Pantoea",357.116049130094,374.23317249787,1263.12305682149,896.256083460847,2.49285554122826e-189,4.59931847356613e-187
"Enterobacter",12.8944381950083,22.0923025764061,448.194282669626,514.515530118963,2.23399617047362e-118,3.29737834761906e-116
"X.Sphingomonadaceae.",347.178726392665,300.401399866733,817.314967795088,456.951764588711,1.00668924232616e-108,1.23822776806118e-106
"Acidovorax",866.733381440319,1484.22287095665,2155.93714916338,1038.61118899619,1.04739388640638e-75,1.10425241166844e-73
"X.Lactobacillales.",211.68843663674,328.107535660645,33.5037414793038,33.298658024811,8.89215272303852e-71,8.20301088700303e-69
"X.Burkholderiales.",187.843622792564,325.291372107647,1090.7162370616,700.670231014288,1.06263773288246e-64,8.71362940963618e-63
"X.Pseudomonadaceae.",57.9570036828184,54.6069939087703,235.105713560044,148.887490044139,2.6179288809421e-51,1.93203151413527e-49
"X.Alphaproteobacteria.",222.859645170659,220.408647935001,408.788178845227,100.119269797978,6.38742186936755e-41,4.28537939963023e-39
"X.Comamonadaceae.",840.09783271512,1445.70568868645,3285.06122908101,1609.03634083649,9.54125265712715e-38,5.8678703841332e-36
"X.Cytophagales.",149.166585983101,179.804061394619,90.8909719153217,81.7683128216969,2.49510923802012e-34,1.41645432127603e-32
"X.Microbacteriaceae.",245.018066948267,217.12500628615,355.291075903379,85.4248378679948,5.09878364839971e-34,2.6877873803707e-32
"Arthrobacter",107.686482162097,126.406223712433,166.053283681089,142.686340060598,2.03620859856353e-31,1.00181463049326e-29
"X.Sphingobacteriales.",179.42735550371,184.495023065109,135.397520950214,125.136461027668,4.09281628493851e-25,1.88781151142789e-23
"Deinococcus",78.0028189958455,94.5650801544824,49.9559195811128,43.0988488448988,4.91541553565159e-22,2.13386862665346e-20
"X.Sphingomonadales.",92.9106999521802,96.0737610799513,107.314220865619,37.1477832624224,5.33262971929932e-22,2.18637818491272e-20
"Niastella",56.7569995135257,78.224702892011,47.5698633478552,48.4870791592927,2.9703734621165e-20,1.1537555868642e-18
"X.Oxalobacteraceae.",47.1242005037604,72.2720726568993,76.3194255075559,70.018276369407,6.52944352086381e-17,2.40936465919875e-15
"X.Bacillales.",64.4899474777902,64.5417944954164,117.17151704857,116.943098283425,1.74146634067369e-14,6.12001028293898e-13
"Massilia",35.4228515497175,40.2863163945729,43.1232001451649,12.0397826293235,8.85020737657409e-09,2.96884229268713e-07
"Sphingobacterium",8.51517685047483,11.4592663493035,22.5523224589058,25.308164083118,9.86327509506465e-07,3.16482479137292e-05
"X.Actinomycetales.",385.048729699262,364.140837977877,739.492137740704,640.387278115606,7.45728552382576e-06,0.000229311529857642
"Rubellimicrobium",26.4524295322228,29.128516085938,23.3125244475121,14.6287777614318,2.65681018597142e-05,0.000784290366898763
"Niabella",17.0345683330103,18.1299978593066,15.2242910696654,16.0362996528419,6.51995736577865e-05,0.00185066482151717
"Klebsiella",3.60049793588293,6.03257963342387,18.9846153556596,10.8115647848656,0.000149958183691154,0.00400168171847894
"Lactococcus",17.7073488977182,21.1296085157709,0.0849694052261446,0.147171326940591,0.000151825322652317,0.00400168171847894
"X.Actinobacteria.",29.7877354625443,45.6191853810494,64.3256822120131,55.7642181818848,0.000157411390792893,0.00400584849672949
"X.Enterococcaceae.",203.220964621736,335.795570562318,4.60965881120116,6.18093274645418,0.000677647886334543,0.0166701380038297
"Alicycliphilus",5.5654130412055,9.58108886102725,12.6294202286474,9.26105083559005,0.0010797590062533,0.0257052305359655
